	NOMS	Occurence
519	Jeansotte	1
520	Jojot	1
521	Jolly	1
522	Jonchère	1
523	Jourdran	10
524	Jouveau-Dubreuil	2
525	Joyeux	1
526	Jud	2
527	Kerandel	1
528	Kermorgant	4
529	Kermorgant. A	1
530	Kernéis	1
531	Kervrann	3
532	Kervrann. 	1
533	Kieffer	2
534	Kleine	1
535	Koch	1
536	Koun. Chapitre premier. Fonctionnement général du service. Chapitre II	1
537	Kérandel	1
538	L Bréaudat	1
539	L Touin	1
540	L'Herminier	1
541	L. Alexis	1
542	L. Boyé	1
543	L. Boyé 	1
544	L. Bréaudat	4
545	L. Colin 	1
546	L. Collin	1
547	L. Collin 	1
548	L. Fauchon	3
549	L. Fauré	1
550	L. Gaide	1
551	L. Hata	1
552	L. Mathis	2
553	L. Mul	1
554	L. Robert	1
555	L. Rogers	1
556	L. Stévenel 	1
557	L. Touin	2
558	L.Bréaudat	1
559	L.Mul	1
560	L.Rousseau	1
561	Labernadie	7
562	Labernadie. I	1
563	Lafage	2
564	Lafaurie	2
565	Lafforgue	1
566	Lafleur	2
567	Lafont	5
568	Laigret	3
569	Lalluyaux D'Ormay	1
570	Lalung-Bonnaire	1
571	Lamy	1
572	Lang	1
573	Laouilheau	1
574	Laquieze	3
575	Laquièze	1
576	Lasnet	8
577	Laurence	1
578	Lauret	1
579	Laveran	1
580	Laveran 	1
581	Lavier	1
582	Le Bihan	1
583	Le Bourhis	1
584	Le Camus	1
585	Le Corre	1
586	Le Cousse	1
587	Le Dantec	4
588	Le Dentu	1
589	Le Gac	6
590	Le Huludut	2
591	Le Jollec	1
592	Le Moal	4
593	Le Moine	2
594	Le Pape	1
595	Le Ray	3
596	Le Rouzic	2
597	Leboeuf	5
598	Leclerc	1
599	Lecomte	4
600	Ledentu	3
601	Lefèvre	8
602	Legendre (J.)	1
603	Leger	1
604	Lemasson	1
605	Lemoal	1
606	Lemoine	2
607	Lenoir	1
608	Leonard Rogers	1
609	Lespinasse	2
610	Letonturier	3
611	Lhomme	3
612	Lidin	2
613	Lieurade	1
614	Logerais	1
615	Lonjarret	1
616	Loste	2
617	Louis Collin	1
618	Louis Déjou	1
619	Louis Gouzien	1
620	Louis Lapayre	1
621	Louis Le Clech	1
622	Lucas	1
623	Léger	3
624	Léon Collin	3
625	Léonard Rogers	2
626	Léopold Robert	1
627	Lépine	2
628	M	1
629	M Collas	1
630	M. A Pairault	1
631	M. Bouillat	1
632	M. F. Guichard	1
633	M. G Lambert	1
634	M. J. D. Grieg	1
635	M. Kermorgant	1
636	M. L.Bréaudat	1
637	M. Lenoir	1
638	M. Peyre	1
639	M. Simond 	1
640	M. le Professeur Hermann Wintz	1
