	NOM (Prenom)	Recherche_G-nbr	Recherche_NomPrenom-nbr
370	MARTIN (Noël)	18460	16
371	MARTINEZ (F.)	4492	16
372	MARTY (L.)	698	9
373	MARULLAZ (M.)	11	1
374	MARZINOWSKY (E.-I.)	0	0
375	MARZINOWSKY (E.-J.)	0	0
376	MASSOL (L.)	70	1
377	MASSON (P.)	1141	3
378	MATHIS (C.)	279	1
379	MATHIS (C.)	279	1
380	MATHON (CH.)	95	0
381	MATIGNON (J.-J.)	58	0
382	MATIGNON (J.J.)	58	0
383	MATTE (E.)	73	0
384	MAUCLAIRE	11	11
385	MCINTOSH (J.)	124	5
386	MEIRELLES (Z.)	20	0
387	MELISSIDIS (A.)	0	0
388	MELLO (U.)	302	0
389	MERCIER (L.)	1260	16
390	MESINCESCU (D.)	0	0
391	MESLIN (CH.)	45	0
392	MESLIN (R.)	45	0
393	MESNIL (F.)	126	0
394	MICHAILIDIS (N.)	25	0
395	MICHELI (M.)	123	1
396	MIGLIANO (L)	0	0
397	MIGONE (L.-E.)	5	0
398	MIRAMOND DE LA ROQUETTE	0	3
399	MITTER (S.N.)	23	0
400	MOLDOVAN (J.)	30	0
401	MONFORT (F.)	114	0
402	MONNIER	569	569
403	MONOD (TH.)	212	1
404	MONTEL (Marie-Louis-René)	112	1
405	MONTFORT (F.)	109	0
406	MONTGOMERY (E.)	309	11
407	MONTHUS (A.)	5	0
408	MONTPELLIER (J.)	59	1
409	MOORE (A.)	1384	38
410	MORAX (V.)	8	0
411	MOREAU (L.)	1863	24
412	MORIN (G.-H )	1182	0
413	MORSLY (T.)	5	0
414	MOTAIS (FRANÇOIS)	19	1
415	MOTAS (C. S.)	4	0
416	MOTY (F.)	6	1
417	MOUCHET (R.)	93	2
418	MOUZELS (P.)	0	0
419	MUNOZ (FERNANDO R )	1283	0
420	MURAZ()	9	9
421	MUSSO (L.)	101	1
422	MUSSO (L.)	101	1
423	MUTERMILCH (ST.)	2	0
424	NEVEUX	69	69
425	NEWSTEAD (R.)	7	0
426	NICLOT	16	16
427	NICLOT (F.)	16	0
428	NICOLAS (CH.)	15290	5
429	NICOLAS (E.)	15290	25
430	NICOLLE (CHARLES)	211	3
431	NICOLLE (M.)	211	2
432	NIMIER	9	9
433	NOC (F.)	13	0
434	NOGUE (M.)	32	0
435	NOVY (F.G.)	24	1
436	NOWIKOFF (P.A.)	0	0
437	NUTTAL (H. F.)	3	0
438	O’ZOUX (L.L.)	1	0
439	OLDT (F.)	0	0
440	OLIVEAU (A.)	14	0
441	ORTHOLAN	6	6
442	ORTICONI (A.)	6	0
443	ORTICONI (L)	6	0
444	OUZILLEAU (F.)	4	0
445	PAISSEAU (G.)	1	0
446	PAMARET()	0	0
447	PARANHOS (U.)	16	0
448	PARFENTJEV ()	0	0
449	PAROÏSKY (P.S.)	0	0
450	PARROT (A.)	91	1
451	PARROT (L.)	91	2
452	PARVU	10	10
453	PASTEUR VALLERY-RADOT(Louis)	0	2
454	PATTON (W.S.)	112	0
455	PAUCOT (M.)	6	0
456	PÉCAUD (G.)	7	0
457	PEDROSO (A.)	53	1
458	PÉJU (G.)	13	1
459	PEKKOLA (W.)	1	0
460	PELLETIER (J.)	645	4
461	PETIT (G.)	2405	16
462	PETTIT (A.)	49	0
463	PEZET (O.)	59	0
464	PHINGAULT (E.)	0	0
465	PHIPPS (F.-E.)	46	0
466	PHISALIX (MARIE)	2	1
467	PHOTINOS (GEORGES-TH.)	5	0
468	PHOTINOS (S.)	5	0
469	PICARD (F.)	965	1
470	PIGNET (M.)	24	0
471	PINOY (E.)	4	0
472	PIOT (A )	176	3
473	PIOT-BEY (J.-B.)	1	0
474	PIRAJA DA SILVA	0	2
475	PLANTIER (A.)	78	2
476	POIRSON (H.)	64	0
477	PONS (C.)	773	5
478	PONS (R.)	773	0
479	POROT (A.)	18	2
480	PORRY (E.)	6	0
481	POTTEVIN (H.)	2	0
482	POUJOL (J.)	99	1
483	POUPELAIN()	1	1
484	PRATES (M.M.)	17	0
485	PRIMET (E.)	9	0
486	PRIMET()	9	9
487	PRINGAULT (E.)	9	0
488	PUYHAUBERT(Alfred)	3	1
489	QUARELLI (G.)	0	0
490	R. ASSEO)	29070	29070
491	RAILLIET (A.)	3	1
