76	B. Trinquier	1	B.%20AND%20Trinquier	https://www.idref.fr/Sru/Solr?q=persname_t:(B.%20AND%20TRINQUIER)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
103	Bonhaud	1	Bonhaud	https://www.idref.fr/Sru/Solr?q=persname_t:(BONHAUD)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
134	C. Allary	1	C.%20AND%20Allary	https://www.idref.fr/Sru/Solr?q=persname_t:(C.%20AND%20ALLARY)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
135	C. Baril	1	C.%20AND%20Baril	https://www.idref.fr/Sru/Solr?q=persname_t:(C.%20AND%20BARIL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
139	C. Durieux	1	C.%20AND%20Durieux	https://www.idref.fr/Sru/Solr?q=persname_t:(C.%20AND%20DURIEUX)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
142	C. Mense	1	C.%20AND%20Mense	https://www.idref.fr/Sru/Solr?q=persname_t:(C.%20AND%20MENSE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
151	Carnas	1	Carnas	https://www.idref.fr/Sru/Solr?q=persname_t:(CARNAS)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
163	Cazanove. A	1	Cazanove.%20AND%20A	https://www.idref.fr/Sru/Solr?q=persname_t:(CAZANOVE.%20AND%20A)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
165	Ch. Grall	1	Ch.%20AND%20Grall	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.%20AND%20GRALL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
166	Ch. Jojot	1	Ch.%20AND%20Jojot	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.%20AND%20JOJOT)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
167	Ch. Meslin	1	Ch.%20AND%20Meslin	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.%20AND%20MESLIN)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
168	Ch. Nicolle	1	Ch.%20AND%20Nicolle	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.%20AND%20NICOLLE)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
169	Ch. Niel	1	Ch.%20AND%20Niel	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.%20AND%20NIEL)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
170	Ch.-M.-E Bailly	1	Ch.-M.-E%20AND%20Bailly	https://www.idref.fr/Sru/Solr?q=persname_t:(CH.-M.-E%20AND%20BAILLY)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
176	Charles Crozafon	1	Charles%20AND%20Crozafon	https://www.idref.fr/Sru/Solr?q=persname_t:(CHARLES%20AND%20CROZAFON)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
182	Chosky	1	Chosky	https://www.idref.fr/Sru/Solr?q=persname_t:(CHOSKY)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
185	Ciro L. Urriola	1	Ciro%20AND%20L.%20AND%20Urriola	https://www.idref.fr/Sru/Solr?q=persname_t:(CIRO%20AND%20L.%20AND%20URRIOLA)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0
