	NOMS	Recherche_G-nbr
911	le capitaine A.-J. Hall	0
912	le capitaine ENSOR	0
913	le lieutenant-colonel C. H. Hale	0
914	le major C. E. P. Fowler	0
916	les Drs Aubert	0
919	sir Rubert-Boyce	0
920	Édouard Heckel	1
921	Édouard Sambuc	1
922	Émery	317
923	Émily	901
