49	BIJON (R.)	BIJON	R.	https://www.idref.fr/Sru/Solr?q=persname_t:BIJON%20R.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BIJON%20AND%20R.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	17	0
51	BILLIEMAZ (A.)	BILLIEMAZ	A.	https://www.idref.fr/Sru/Solr?q=persname_t:BILLIEMAZ%20A.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BILLIEMAZ%20AND%20A.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	6	0
52	BIOT (R.)	BIOT	R.	https://www.idref.fr/Sru/Solr?q=persname_t:BIOT%20R.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BIOT%20AND%20R.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	60	0
54	BLAIZOT (L.)	BLAIZOT	L.	https://www.idref.fr/Sru/Solr?q=persname_t:BLAIZOT%20L.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BLAIZOT%20AND%20L.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	31	0
60	BLANQUIER (H.)	BLANQUIER	H.	https://www.idref.fr/Sru/Solr?q=persname_t:BLANQUIER%20H.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BLANQUIER%20AND%20H.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	4	0
61	BLIN (G.)	BLIN	G.	https://www.idref.fr/Sru/Solr?q=persname_t:BLIN%20G.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BLIN%20AND%20G.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	288	0
63	BONAIN (C.)	BONAIN	C.	https://www.idref.fr/Sru/Solr?q=persname_t:BONAIN%20C.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BONAIN%20AND%20C.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	1	0
64	BONNEFAY()	BONNEFAY		https://www.idref.fr/Sru/Solr?q=persname_t:BONNEFAY&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BONNEFAY)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	0	0
66	BOQUET (A.)	BOQUET	A.	https://www.idref.fr/Sru/Solr?q=persname_t:BOQUET%20A.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BOQUET%20AND%20A.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	57	0
68	BORIES (L.)	BORIES	L.	https://www.idref.fr/Sru/Solr?q=persname_t:BORIES%20L.&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	https://www.idref.fr/Sru/Solr?q=persname_t:(BORIES%20AND%20L.)&sort=score%20desc&version=2.2&start=0&rows=30&indent=on&fl=id,ppn_z,recordtype_z:h,affcourt_z	104	0
