RICHARD (G.)
RIEUX (J.)
RIGOLLET()
RISQUEZ (J.-R.)
RIZZUTI (G.)
ROBERT
ROBERT (Léopold)
ROBERT (M.J.F.)
ROBIN
ROBLEDO (E.)
ROBLES (R.)
ROBLIN
ROCQUES (X.)
RODET (A.)
RODHAIN (J.)
RODRIGUEZ
ROIG (G.)
ROMANOVITCH (M.)
ROSENBAUM
ROSS (PH. H.)
ROUBAUD (E.)
ROUDSKY (D.)
ROUFFIANDIS (V.)
ROUSSEAU (L.)
ROUSSEAU (Paul)
ROUX (É.)
ROUX (G.)
ROW (R.)
RUBINSTEIN (MLLE)
RUDOLPH (M.)
RUDRER
RUSSO (C.)
RYCKEWAERT (P.)
SACEGHEM (R. VAN)
SACQUEPEE (E.)
SAKOWITSCH (S.J.)
SALIMBENI (A.T.)
SALM (A.-G.)
SALM (A.J.)
SALMON (P.)
SALOMON
SALOMON (E.)
SALVESTRONI
SAMBON (L.)
SANI (LUIGI)
SANLORENZO (F.)
SANZ (B.)
SAPHRONOWITSCH (R.A.)
SAPORTE (F.)
SARRAILHE (A.)
SAUVET (CH.)
SCHAUMANN (H.)
SCHEIN (HENRI)
SCHIESS (J.-R.)
SCHIRWIND (S.)
SCHNEIDER (G.E.)
SCHNEIDER (J. E. J.)
SCHOKHOR (N.-J.)
SCHWETZ (J.)
SCORDO (F.)
SCOTT (W.-M.)
SEGUIN (DQ)
SÉGUINAUD (J.)
SEGUY (E.)
SENEVET (G.)
SERGENT (EDMOND)
SERGENT (ETIENNE)
SERGENT(ÉT.)
SIMOND (P.-L.)
SIMONIN (J.)
SKRJABIN (K.-J.)
SLATINEANO (A.)
SMILLIE (WILSON G.)
SOLOWZOFF (A.-S.)
SOREL (F.)
SORIA (P.)
SOULIÉ (H.)
SPAGNUOLO (V.)
SPENCER (D.-B.)
SPLENDORE (A.)
STANESCO (V.)
STEFKO (W.)
STÉVENEL (L.)
STRONG (R.P.)
SULDEY (E.-W.)
SURCOUF (J.)
SWAMINATH (G. S.)
SWELLENGREBEL (N.-H.)
TASHIM (Ibrahim)
TEISSONNIERE (M.)
TEJERA (E.)
TENDRON (E.)
TEPPAZ (A.)
TEPPAZ (L.)
THEILER (A.)
THÉZÉ (J.)
THIROUX (A.)
THOMSON (D.B.)
TODD (JOHN -L.)
TOUIN()
